iter	RMSE
0	44.37553815
1	43.78582944
2	43.25042228
3	42.69124849
4	42.11553722
5	41.64929605
6	41.17656683
7	40.76575194
8	40.27462864
9	39.78835517
10	39.33923381
11	38.83809566
12	38.37446625
13	37.95492011
14	37.56258139
15	37.13918794
16	36.82822012
17	36.41834645
18	36.08357479
19	35.72480012
20	35.3759745
21	35.05507266
22	34.67921169
23	34.33469498
24	34.02985978
25	33.72949792
26	33.43033033
27	33.18246321
28	32.97456154
29	32.69457296
30	32.46356456
31	32.19805538
32	31.96280223
33	31.76821683
34	31.52830204
35	31.30918927
36	31.08786204
37	30.89040231
38	30.69929339
39	30.53037592
40	30.31628314
41	30.11906426
42	29.92058819
43	29.71530166
44	29.50981083
45	29.28576613
46	29.1555782
47	29.00362613
48	28.81251176
49	28.66287777
50	28.44301335
51	28.28280789
52	28.10352405
53	27.95719934
54	27.81815095
55	27.65344996
56	27.44941771
57	27.3023612
58	27.19446523
59	27.08563342
60	26.99551791
61	26.82833224
62	26.74345918
63	26.59841122
64	26.45620805
65	26.33223991
66	26.24388847
67	26.12635892
68	26.02526628
69	25.9244936
70	25.8177531
71	25.72304689
72	25.58508939
73	25.49201334
74	25.44007766
75	25.2857501
76	25.20980034
77	25.11959801
78	25.01798359
79	24.92388474
80	24.81631011
81	24.68245487
82	24.60464037
83	24.52193431
84	24.44563142
85	24.38831199
86	24.29043139
87	24.21457909
88	24.14495891
89	24.10034415
90	24.01055941
91	23.94838297
92	23.87531979
93	23.81588962
94	23.69968899
95	23.63198674
96	23.57958239
97	23.56145599
98	23.48405518
99	23.41286581
100	23.33502027
101	23.24443074
102	23.14875796
103	23.07636096
104	23.02282193
105	22.93696948
106	22.86590839
107	22.79465638
108	22.74220773
109	22.65236272
110	22.59922769
111	22.52111146
112	22.44133868
113	22.38759747
114	22.32974937
115	22.24497357
116	22.18237663
117	22.14985227
118	22.10008291
119	22.04960012
120	21.99899166
121	21.92598438
122	21.86209848
123	21.79780253
124	21.71608161
125	21.67096944
126	21.60088529
127	21.56494962
128	21.48856532
129	21.4404187
130	21.37913978
131	21.31380727
132	21.28802991
133	21.24198183
134	21.21567119
135	21.14136842
136	21.10417534
137	21.04251742
138	20.98990243
139	20.90603074
140	20.84923446
141	20.76927474
142	20.70455638
143	20.65340287
144	20.56211214
145	20.47502156
146	20.4167143
147	20.39868494
148	20.35075693
149	20.30123683
150	20.26690575
151	20.20489182
152	20.17989988
153	20.11092602
154	20.04366448
155	19.99672928
156	19.94345244
157	19.89096564
158	19.8681582
159	19.8114064
160	19.72939142
161	19.6690684
162	19.58617817
163	19.52593127
164	19.48594452
165	19.45846342
166	19.43447607
167	19.36104384
168	19.33357853
169	19.30112985
170	19.22507045
171	19.1450676
172	19.09762504
173	19.00774927
174	18.96714437
175	18.91184701
176	18.87163872
177	18.83075611
178	18.73262182
179	18.71422587
180	18.68520907
181	18.60933889
182	18.55646125
183	18.50756396
184	18.45740147
185	18.41924541
186	18.35976279
187	18.30299814
188	18.25457176
189	18.22398629
190	18.14692097
191	18.10833085
192	18.02457642
193	17.98807034
194	17.89498885
195	17.83689562
196	17.80320188
197	17.75530247
198	17.7162561
199	17.68883585
200	17.65926156
201	17.60439438
202	17.55260138
203	17.49286347
204	17.45797063
205	17.39881105
206	17.35860292
207	17.31667364
208	17.23810822
209	17.19410935
210	17.16429251
211	17.1328101
212	17.06982157
213	17.04279902
214	16.98200318
215	16.95174381
216	16.92543718
217	16.90178998
218	16.88858829
219	16.8675035
220	16.80168528
221	16.78241874
222	16.72414021
223	16.70611505
224	16.63135868
225	16.58770458
226	16.57519148
227	16.50043514
228	16.46845479
229	16.38899545
230	16.3394926
231	16.2392904
232	16.17123604
233	16.08362645
234	16.05534516
235	16.00746157
236	15.97535441
237	15.89589797
238	15.8554664
239	15.8459929
240	15.80696896
241	15.78241909
242	15.72868698
243	15.71973109
244	15.65121018
245	15.57069227
246	15.52956829
247	15.4258613
248	15.39556255
249	15.35685866
250	15.32391653
251	15.2372385
252	15.18764791
253	15.09666575
254	15.0486843
255	14.97335917
256	14.9371858
257	14.89717233
258	14.84538902
259	14.8134184
260	14.77809725
261	14.70240389
262	14.67005612
263	14.62761238
264	14.60949813
265	14.55619462
266	14.52360336
267	14.45981363
268	14.44600361
269	14.40452632
270	14.35191062
271	14.28285129
272	14.19148635
273	14.12294571
274	14.07338415
275	14.06451968
276	13.99937045
277	13.96613356
278	13.91349252
279	13.84009058
280	13.80798717
281	13.78718143
282	13.73114935
283	13.71872134
284	13.70103855
285	13.61686963
286	13.57471609
287	13.5289121
288	13.52062336
289	13.49166686
290	13.47798078
291	13.46995932
292	13.43983631
293	13.43329814
294	13.39081371
295	13.34771289
296	13.28294564
297	13.23159816
298	13.19822135
299	13.1628883
300	13.12405048
301	13.09766679
302	13.05801773
303	13.05102724
304	12.99885135
305	12.93749123
306	12.8913926
307	12.86208633
308	12.80001996
309	12.71655809
310	12.70720047
311	12.66380701
312	12.61352698
313	12.57403879
314	12.55066685
315	12.51814563
316	12.51173832
317	12.47198074
318	12.46631632
319	12.45957502
320	12.40643376
321	12.3720703
322	12.33435544
323	12.32740266
